Tillman's Favorites,Inside Out Triangle,seed=x&f=fxf_1_0&b=b_2_0&l=l_3_120&x=lflblflblfl_0_0&it=8,,,
Tillman's Favorites,Sierpinski Shark,seed=f&f=fllfglf_1_0&g=glfgllg_1_0&l=l_3_120&it=8,,,
Tillman's Favorites,Circle Tassels,seed=rr&f=flgg_1_0&g=gg_1_0&r=rffrrfrrr_3_30&l=rfflllflg_4_30&it=5,,,
Tillman's Favorites,Diamond Rockets,seed=f&f=rblflflbr_1_0&b=lfrbrbrfl_2_0&r=r_3_90&l=l_4_90&it=8,,,
Tillman's Favorites,Fancy Hand Mirror Variant,seed=f&f=frbrf_1_1&b=blflb_2_1&r=r_3_120&l=l_4_30&it=10,,,
Tillman's Favorites,Mirrored Candelabra,seed=f&f=frf_1_0&b=bpb_2_0&r=rbr_4_90&p=pfp_4_90&it=10,,,
Tillman's Favorites,Seahorse Mask,seed=f&f=frflflfrf_1_0&r=r_3_90&l=l_4_120&it=6,,,
Tillman's Favorites,Another Wind Gust,seed=f&f=flglh_1_0&g=frgrh_1_0&h=rflglhr_1_0&r=r_3_60&l=l_4_60&it=10,,,
Tillman's Favorites,DNA Streamers,seed=f&f=flfrf_1_0&r=r_3_60&l=l_4_90&it=10,,,
Tillman's Favorites,Fin Waves,seed=f&f=flbrf_1_0&b=blfrb_2_0&r=br_3_60&l=lf_4_60&it=9,,,
Tillman's Favorites,Godzilla Fin Chain,seed=f&f=frfrbrb_1_0&b=blbblb_2_0&r=r_3_150&l=l_4_90&it=7,,,
Tillman's Favorites,Tentacles,seed=f&f=frfrfrlfl_1_0&r=r_3_60&l=l_4_150&it=8,,,
Tillman's Favorites,Wind Gust,seed=f&f=flfrf_1_0&b=blbrb_2_0&r=br_3_120&l=lf_4_120&it=9,,,
Tillman's Favorites,Chaos Cookie Kermit,seed=f&f=rblflflbr_1_0&b=lfrbrbrfl_2_0&r=r_3_144&l=l_4_144&it=8,,,
Tillman's Favorites,Chaos Kermit,seed=l&f=flpfmmfmfmmfplf_1_0&m=mf_3_60&l=lf_4_90&p=pf_4_60&it=6,,,
Tillman's Favorites,Thunderbird Curve,seed=f&f=fbrbf_1_0&b=lbfbl_2_0&r=r_3_90&l=l_4_90&it=10,,,W
Tillman's Favorites,Thunderbird Profile,seed=f&f=fxyxf_1_0&r=rx_3_120&l=yl_4_120&x=lfrfrfl_0_0&y=rflflfr_0_0&it=7,,,
Tillman's Favorites,This Curve Does More in a Few Degrees than I've Done in My Entire Life,seed=f&f=frffrf_1_0&r=r_3_90&it=7,,,
Botanical Curves,Maple Pine Trees,seed=b&b=brllr_2_1&r=r_3_120&l=bl_4_120&it=13,,,
Botanical Curves,Wheat Sheaves,seed=f&f=brflflfr_1_0&b=lbrbrblf_2_0&r=r_3_150&l=l_4_150&it=8,,,
Botanical Curves,Mandelbrot Prickly Pear,seed=f&f=ffbl_1_0&b=bbfl_2_0&l=l_3_90&it=10,,,
Botanical Curves,Pine Tree Ridge,seed=f&f=ffrbb_1_0&b=lbbrffl_2_0&r=r_3_30&l=l_4_120&it=8,,,
Botanical Curves,Broccoli Patch,seed=f&f=ffrbb_1_0&b=lbbrffl_2_0&r=r_3_90&l=l_4_90&it=9,,,
Botanical Curves,Grape Leaves,seed=f&f=flfrf_1_0&b=blbrb_2_0&r=lbrfr_3_90&l=lblfr_4_90&it=7,,,
Botanical Curves,Cedar Clumps,seed=f&f=flfrg_1_1&g=glgrf_1_1&r=rlr_3_135&l=lrl_4_45&it=8,,,
Botanical Curves,Metal Bramble Thicket,seed=f&f=frgrh_1_0&g=flglh_1_0&h=fgh_1_0&r=r_3_60&l=l_4_60&it=11,,,
Botanical Curves,Thistle Patch,seed=f&f=frgrh_1_0&g=flglh_1_0&h=fgh_1_0&r=rh_3_60&l=hl_4_60&it=10,,,
